"Sample"	"Richness"	"Exposure"	"NAP"	"Beach"	"Praia"	"fExp"
1	11	10	0.045	1	"1"	"10"
2	10	10	-1.036	1	"1"	"10"
3	13	10	-1.336	1	"1"	"10"
4	11	10	0.616	1	"1"	"10"
5	10	10	-0.684	1	"1"	"10"
6	8	8	1.19	2	"2"	"10"
7	9	8	0.82	2	"2"	"10"
8	8	8	0.635	2	"2"	"10"
9	19	8	0.061	2	"2"	"10"
10	17	8	-1.334	2	"2"	"10"
11	6	11	-0.976	3	"3"	"11"
12	1	11	1.494	3	"3"	"11"
13	4	11	-0.201	3	"3"	"11"
14	3	11	-0.482	3	"3"	"11"
15	3	11	0.167	3	"3"	"11"
16	1	11	1.768	4	"4"	"11"
17	3	11	-0.03	4	"4"	"11"
18	3	11	0.46	4	"4"	"11"
19	1	11	1.367	4	"4"	"11"
20	4	11	-0.811	4	"4"	"11"
21	3	10	1.117	5	"5"	"10"
22	22	10	-0.503	5	"5"	"10"
23	6	10	0.729	5	"5"	"10"
24	0	10	1.627	5	"5"	"10"
25	6	10	0.054	5	"5"	"10"
26	5	11	-0.578	6	"6"	"11"
27	4	11	-0.348	6	"6"	"11"
28	1	11	2.222	6	"6"	"11"
29	6	11	-0.893	6	"6"	"11"
30	4	11	0.766	6	"6"	"11"
31	2	11	0.883	7	"7"	"11"
32	1	11	1.786	7	"7"	"11"
33	1	11	1.375	7	"7"	"11"
34	3	11	-0.06	7	"7"	"11"
35	4	11	0.367	7	"7"	"11"
36	3	10	1.671	8	"8"	"10"
37	5	10	-0.375	8	"8"	"10"
38	7	10	-1.005	8	"8"	"10"
39	5	10	0.17	8	"8"	"10"
40	0	10	2.052	8	"8"	"10"
41	7	10	-0.356	9	"9"	"10"
42	11	10	0.094	9	"9"	"10"
43	3	10	-0.002	9	"9"	"10"
44	0	10	2.255	9	"9"	"10"
45	2	10	0.865	9	"9"	"10"
