Taxon	Lat
Pelagosaurus_typus	37.1
Pelagosaurus_typus	38.3
Pelagosaurus_typus	38.3
Steneosaurus_leedsi	42.7
Goniopholis_simus	41.5
Hylaeochampsa_vectiana	40.8
Voay_robustus	19.9
Crocodylus_palaeindicus	29.2
Iharkutosuchus_makadii	31
Iharkutosuchus_makadii	31
Steneosaurus_megistorhynchus	41.5
Steneosaurus_megistorhynchus	42.7
Steneosaurus_megistorhynchus	41.5
Steneosaurus_leedsi	42.7
Steneosaurus_bollensis	42.4
Diplocynodon_hantoniensis	49.2
Diplocynodon_hantoniensis	49.2
Aplestosuchus_sordidus	25.8
Steneosaurus_bollensis	37.8
Dyrosaurus_phosphaticus	21.9
Steneosaurus_heberti	39.5
Elosuchus_cherifiensis	15.2
Sarcosuchus_imperator	4
Metriorhynchus_superciliosus	42.7
Diplocynodon_ratelii	46.2
Gavialis_gangeticus	35.1
Diplocynodon_ratelii	46.2
Araripesuchus_wegeneri	2.6
Teleosaurus_cadomensis	38.7
Diplocynodon_ratelii	46.2
thoracosaurus_macrorhynchus	43.4
Metriorhynchus_superciliosus	40.1
Dyrosaurus_phosphaticus	27.6
Dyrosaurus_phosphaticus	27.6
Steneosaurus_bollensis	37.8
Steneosaurus_bollensis	37.8
Platysuchus_multicrobiculatus	37.8
Steneosaurus_bollensis	37.8
Cricosaurus_suevicus	39.2
Tomistoma_cairense	22.5
Crocodylus_megarhinus	26.3
Eogavialis_africanus	24.9
Pelagosaurus_typus	37.8
Vectisuchus_leptognathus	40.8
Allognathosuchus	46.9
Diplocynodon_darwini	46.9
Diplocynodon_darwini	46.9
Diplocynodon_deponiae	46.9
Diplocynodon_darwini	46.9
Crocodylus_depressifrons	46.9
Diplocynodon_darwini	46.9
Allognathosuchus	46.9
Diplocynodon_darwini	46.9
Diplocynodon_darwini	46.9
Allognathosuchus	46.9
Crocodylus_depressifrons	46.9
Piscogavialis_jugaliperforatus	15.8
Susisuchus_anatoceps	8.6
Tsoabichi_greenriverensis	48
Tsoabichi_greenriverensis	48
Libycosuchus_brevirostris	8.1
Cricosaurus_elegans	40
Alligatorellus_beaumonti	40.1
Alligatorellus_beaumonti	40.1
Notosuchus_terrestris	43.7
Hemiprotosuchus_leali	39
Montealtosuchus_arrudacamposi	27.3
Barreirosuchus_franciscoi 	27.4
Caipirasuchus_montealtensis	25.6
Caipirasuchus_montealtensis	26.1
Caipirasuchus_paulistanus	27.3
Baurusuchus_salgadoensis	26.6
Uberabasuchus_terrificus	23.3
Campinasuchus_dinizi	25.6
Hemiprotosuchus_leali	39
Lorosuchus_nodosus	29.4
Pseudohesperosuchus_jachaleri	39
Cricosaurus_araucanensis	37.2
Notosuchus_terrestris	43.7
Comahuesuchus_brachybuccalis	43.5
Sphagesaurus_huenei	23.6
Protosuchus_richardsoni	15.8
Purussaurus_neivensis	2.6
Caiman_lutescens	2.6
Brachychampsa_montana	52.6
Boverisuchus_vorax	45.6
Ceratosuchus_burdoshi	44.5
Mahajangasuchus_insignis	30.1
Alligator_mcgrewi	43.5
Stolokrosuchus_lapparenti	1.5
Kaprosuchus_saharicus	2.8
Anatosuchus_minor	1.5
Anatosuchus_minor	2.3
Araripesuchus_wegeneri	2.6
Araripesuchus_wegeneri	2.6
Simosuchus_clarki	30.1
Araripesuchus_tsangatsangana	30.1
Pissarrachampsa_sera	24.2
Borealosuchus_wilsoni	44.8
Navajosuchus_mooki	42.8
Shamosuchus_djadochtaensis	41.7
Shamosuchus_djadochtaensis	40.9
Protosuchus_richardsoni	16
Araripesuchus_gomesii	10.9
Shantungosuchus_brachycephalus	41.1
Sichuanosuchus_shuhanensis	27.8
Tomistoma_petrolica	22.6
Junggarsuchus_sloani	47.7
Dibothrosuchus_elaphros	33.8
Hsisosuchus_chungkingensis	28.5
Peipehsuchus_teleorhinus	28.4
Hsisosuchus_chungkingensis	28.5
Planocrania_hengdongensis	27.4
Planocrania_datangensis	26.3
Hesperosuchus_agilis	14.8
Terrestrisuchus_gracilis	35.8
Litargosuchus_leptorhynchus	44.6
Borealosuchus_wilsoni	45.2
Crocodylus_affinis	45.2
Boverisuchus_vorax	45.2
Crocodylus_affinis	45.2
Eosuchus_minor	39.2
Candidodon_itapecuruense	8.6
Pakasuchus_kapilimai	30.6
Malawisuchus_mwakasyungutiensis	31.9
Malawisuchus_mwakasyungutiensis	31.9
Yacarerani_boliviensis	23.4
Armadillosuchus_arrudai	27.5
Mariliasuchus_amarali	26.6
Stratiotosuchus_maxhechti	27.6
Baurusuchus_pachecoi	26.4
Sebecus_icaeorhinus	47.8
Hamadasuchus_rebouli	17.4
Machimosaurus_hugii	39.5
Machimosaurus_mosae	40.1
Purussaurus_brasiliensis	10.4
Hsisosuchus_dashanpuensis	29.6
Fruitachampsa_callisoni	35.1
Torvoneustes_coryphaeus	42
Torvoneustes_carpenteri	41.9
Tyrannoneustes_lythrodectikos	42.7
Chenanisuchus_lateroculi	26
Chenanisuchus_lateroculi	26
Mecistops_cataphractus	14.7
Crocodylus_niloticus	33
Gavialis_gangeticus	35.1
Melanosuchus_niger 	18.2
Tomistoma_schlegelii	6.9
Paleosuchus_palpebrosus	22.1
Paleosuchus_trigonatus	13.1
Alligator_mississippiensis	35.5
Alligator_sinensis	32.6
