taxa	FAD	LAD
Pseudohesperosuchus_jachaleri	227	213
Hesperosuchus_agilis	227	208.5
Dromicosuchus_grallator	227	208.5
Saltoposuchus_connectens	220	210
Terrestrisuchus_gracilis	208.5	201.3
Litargosuchus_leptorhynchus	201.3	190.8
Kayentasuchus_walkeri	199.3	182.7
Sphenosuchus_acutus	201.3	190.8
Dibothrosuchus_elaphros	201.3	190.8
Junggarsuchus_sloani	166.1	157.3
Almadasuchus_figarii	163.5	157.3
Orthosuchus_stormbergi	199.3	190.8
Edentosuchus_tienshanensis	122.5	100.5
Hemiprotosuchus_leali	227	213
Protosuchus_richardsoni	201.3	199.3
Protosuchus_haughtoni	201.3	190.8
Zaraasuchus_shepardi	86.3	72.1
Gobiosuchus_kielanae	83.6	72.1
Sichuanosuchus_shuhanensis	145	100.5
Sichuanosuchus_huidongensis	163.5	157.3
Shantungosuchus_hangjinensis	139.8	113.0
Shantungosuchus_chuhsienensis	152.1	113
Shantungosuchus_brachycephalus	145	100.5
Neuquensuchus_universitas	86.3	83.6
Nominosuchus_matutinus	152.1	145
Fruitachampsa_callisoni	157.3	145
Adzhosuchus_fuscus	152.1	145
Shartegosuchus_asperopalatum	152.1	145
Hsisosuchus_chungkingensis	163.5	145
Hsisosuchus_dashanpuensis	170.3	163.5
Hsisosuchus_chowi	163.5	157.3
Anatosuchus_minor	125	100.5
Araripesuchus_tsangatsangana	72.1	66
Araripesuchus_wegeneri	125	100.5
Araripesuchus_buitreraensis	100.5	93.9
Araripesuchus_gomesii	125	100.5
Araripesuchus_patagonicus	100.5	93.9
Uruguaysuchus_aznarezi	100.5	83.6
Stolokrosuchus_lapparenti	125	100.5
Kaprosuchus_saharicus	100.5	93.9
Mahajangasuchus_insignis	72.1	66.0
Hamadasuchus_rebouli	113	93.9
Gasparinisuchus_peirosauroides	86.3	72.1
Lomasuchus_palpebrosus	93.9	86.3
Uberabasuchus_terrificus	72.1	66
Montealtosuchus_arrudacamposi	83.6	66
Candidodon_itapecuruense	113	100.5
Libycosuchus_brevirostris	100.5	93.9
Simosuchus_clarki	72.1	66
Pakasuchus_kapilimai	125	100.5
Malawisuchus_mwakasyungutiensis	125	113
Morrinhosuchus_luziae	83.6	66
Coringasuchus_anisodontis	100.5	93.9
Adamantinasuchus_navae	83.6	66
Yacarerani_boliviensis	93.9	83.6
Armadillosuchus_arrudai	83.6	66
Sphagesaurus_huenei	83.6	66
Caryonosuchus_pricei	83.6	66
Labidiosuchus_amicum	72.1	66
Mariliasuchus_amarali	83.6	66
Notosuchus_terrestris	86.3	83.6
Caipirasuchus_stenognathus	83.6	66
Caipirasuchus_paulistanus	83.6	66
Caipirasuchus_montealtensis	83.6	66
Chimaerasuchus_paradoxus	125	100.5
Comahuesuchus_brachybuccalis	86.3	83.6
Pabwehshi_pakistanensis	72.1	66
Lorosuchus_nodosus	61.6	56
Cynodontosuchus_rothi	86.3	83.6
Pehuenchesuchus_enderi	83.6	72.1
Iberosuchus_macrodon	56	33.9
Bergisuchus_dietrichbergi	47.8	41.2
Pissarrachampsa_sera	83.6	66
Stratiotosuchus_maxhechti	83.6	66
Campinasuchus_dinizi	83.6	66
Baurusuchus_albertoi	83.6	66
Baurusuchus_pachecoi	83.6	66
Baurusuchus_salgadoensis	83.6	66
Barinasuchus_arveloi	15.97	11.63
