Taxon	log_odcl
Pelagosaurus_typus	1.891537458
Pelagosaurus_typus	1.72427587
Pelagosaurus_typus	1.544068044
Steneosaurus_leedsi	2.423245874
Goniopholis_simus	2.230448921
Hylaeochampsa_vectiana	1.901458321
Voay_robustus	2.260071388
Crocodylus_palaeindicus	2.269512944
Iharkutosuchus_makadii	1.806179974
Iharkutosuchus_makadii	1.832508913
Steneosaurus_megistorhynchus	2.436162647
Steneosaurus_megistorhynchus	2.403120521
Steneosaurus_megistorhynchus	2.445604203
Steneosaurus_leedsi	2.361727836
Steneosaurus_bollensis	2.315970345
Diplocynodon_hantoniensis	2.127104798
Diplocynodon_hantoniensis	2.155336037
Aplestosuchus_sordidus	2.102776615
Steneosaurus_bollensis	2.26245109
Dyrosaurus_phosphaticus	2.379668034
Steneosaurus_heberti	2.556302501
Elosuchus_cherifiensis	2.278753601
Sarcosuchus_imperator	2.591064607
Metriorhynchus_superciliosus	2.318063335
Diplocynodon_ratelii	2.075546961
Gavialis_gangeticus	2.132579848
Diplocynodon_ratelii	1.944482672
Araripesuchus_wegeneri	1.740362689
Teleosaurus_cadomensis	1.86332286
Diplocynodon_ratelii	2.08278537
thoracosaurus_macrorhynchus	2.008600172
Metriorhynchus_superciliosus	2.217483944
Dyrosaurus_phosphaticus	2.227886705
Dyrosaurus_phosphaticus	2.276461804
Steneosaurus_bollensis	2.26245109
Steneosaurus_bollensis	2.187520721
Platysuchus_multicrobiculatus	2.025305865
Steneosaurus_bollensis	2.338456494
Cricosaurus_suevicus	1.968482949
Tomistoma_cairense	1.986771734
Crocodylus_megarhinus	2.274157849
Eogavialis_africanus	2.252853031
Pelagosaurus_typus	1.894316063
Vectisuchus_leptognathus	1.829303773
Allognathosuchus	1.826074803
Diplocynodon_darwini	1.977723605
Diplocynodon_darwini	1.683947131
Diplocynodon_deponiae	1.682145076
Diplocynodon_darwini	1.959041392
Crocodylus_depressifrons	2.209515015
Diplocynodon_darwini	1.959041392
Allognathosuchus	1.851258349
Diplocynodon_darwini	1.897627091
Diplocynodon_darwini	1.986771734
Allognathosuchus	1.838849091
Crocodylus_depressifrons	2.167317335
Piscogavialis_jugaliperforatus	2.328379603
Susisuchus_anatoceps	1.477121255
Tsoabichi_greenriverensis	1.380211242
Tsoabichi_greenriverensis	1.505149978
Libycosuchus_brevirostris	1.924279286
Cricosaurus_elegans	2
Alligatorellus_beaumonti	1.431363764
Alligatorellus_beaumonti	1.397940009
Notosuchus_terrestris	1.963787827
Hemiprotosuchus_leali	1.602059991
Montealtosuchus_arrudacamposi	1.86332286
Barreirosuchus_franciscoi 	2.096910013
Caipirasuchus_montealtensis	1.857332496
Caipirasuchus_montealtensis	1.939519253
Caipirasuchus_paulistanus	1.892094603
Baurusuchus_salgadoensis	2.139879086
Uberabasuchus_terrificus	1.939519253
Campinasuchus_dinizi	2.017033339
Hemiprotosuchus_leali	1.531478917
Lorosuchus_nodosus	1.929418926
Pseudohesperosuchus_jachaleri	1.799340549
Cricosaurus_araucanensis	2.093421685
Notosuchus_terrestris	1.973127854
Comahuesuchus_brachybuccalis	1.716003344
Sphagesaurus_huenei	1.986771734
Protosuchus_richardsoni	1.799340549
Purussaurus_neivensis	2.414973348
Caiman_lutescens	2.025305865
Brachychampsa_montana	2.1430148
Boverisuchus_vorax	2.133538908
Ceratosuchus_burdoshi	2.008600172
Mahajangasuchus_insignis	2.214843848
Alligator_mcgrewi	1.819543936
Stolokrosuchus_lapparenti	1.954242509
Kaprosuchus_saharicus	2.08278537
Anatosuchus_minor	1.792391689
Anatosuchus_minor	1.69019608
Araripesuchus_wegeneri	1.812913357
Araripesuchus_wegeneri	1.662757832
Simosuchus_clarki	1.799340549
Araripesuchus_tsangatsangana	1.568201724
Pissarrachampsa_sera	2.136720567
Borealosuchus_wilsoni	2.021189299
Navajosuchus_mooki	1.991226076
Shamosuchus_djadochtaensis	1.792391689
Shamosuchus_djadochtaensis	1.763427994
Protosuchus_richardsoni	1.681241237
Araripesuchus_gomesii	1.591064607
Shantungosuchus_brachycephalus	1.477121255
Sichuanosuchus_shuhanensis	1.571708832
Tomistoma_petrolica	2.086359831
Junggarsuchus_sloani	1.790285164
Dibothrosuchus_elaphros	1.823474229
Hsisosuchus_chungkingensis	1.758154622
Peipehsuchus_teleorhinus	2.203576775
Hsisosuchus_chungkingensis	1.913813852
Planocrania_hengdongensis	1.77298145
Planocrania_datangensis	1.907948522
Hesperosuchus_agilis	1.540329475
Terrestrisuchus_gracilis	1.532754379
Litargosuchus_leptorhynchus	1.523746467
Borealosuchus_wilsoni	2.122215878
Crocodylus_affinis	2.178976947
Boverisuchus_vorax	2.053078443
Crocodylus_affinis	2.123851641
Eosuchus_minor	2.120573931
Candidodon_itapecuruense	1.697229343
Pakasuchus_kapilimai	1.633468456
Malawisuchus_mwakasyungutiensis	1.559906625
Malawisuchus_mwakasyungutiensis	1.5774918
Yacarerani_boliviensis	1.716837723
Armadillosuchus_arrudai	2.164055292
Mariliasuchus_amarali	1.830588669
Stratiotosuchus_maxhechti	2.31302311
Baurusuchus_pachecoi	2.217220656
Sebecus_icaeorhinus	2.102433706
